"";"num";"object";"Pb206_Pb204";"Pb207_Pb204";"Pb208_Pb204";"color.object";"symbol";"Pb206_Pb204.perc";"Pb207_Pb204.perc";"Pb208_Pb204.perc"
"399";"Filon Aznalcollar";"Iberian Peninsula";18,2501;15,666615844;38,338532573;"#FFA500";"triangle";25,26;21,68;53,06
"400";"Filon Aznalcollar (roof)";"Iberian Peninsula";18,1574;15,607556318;38,12055343;"#FFA500";"triangle";25,26;21,71;53,03
"401";"Mina Aznalcollar (Stockwork)";"Iberian Peninsula";18,1529;15,598242383;38,090956186;"#FFA500";"triangle";25,27;21,71;53,02
"402";"Buitron";"Iberian Peninsula";18,159;15,61;38,17;"#FFA500";"triangle";25,24;21,7;53,06
"403";"Campanario";"Iberian Peninsula";17,149;15,628;38,22;"#FFA500";"triangle";24,15;22,01;53,83
"404";"Chaparrita";"Iberian Peninsula";18,166;15,594;38,107;"#FFA500";"triangle";25,28;21,7;53,02
"405";"Conception";"Iberian Peninsula";18,176;15,608;38,176;"#FFA500";"triangle";25,26;21,69;53,05
"406";"Corvo orebody level 717";"Iberian Peninsula";18,291;15,623;38,252;"#FFA500";"triangle";25,35;21,65;53,01
"407";"Corvo";"Iberian Peninsula";18,291;15,623;38,252;"#FFA500";"triangle";25,35;21,65;53,01
"408";"Corvo";"Iberian Peninsula";18,26;15,634;38,252;"#FFA500";"triangle";25,31;21,67;53,02
"409";"Corvo";"Iberian Peninsula";18,237;15,624;38,228;"#FFA500";"triangle";25,3;21,67;53,03
"410";"El Carmen";"Iberian Peninsula";18,189;15,624;38,195;"#FFA500";"triangle";25,26;21,7;53,04
"411";"Caridad A-95/133-133.7";"Iberian Peninsula";18,1479;15,617901261;38,177374272;"#FFA500";"triangle";25,23;21,71;53,07
"412";"Graca orebody level 804";"Iberian Peninsula";18,216;15,641;38,277;"#FFA500";"triangle";25,25;21,68;53,06
"413";"Graca orebody level 804";"Iberian Peninsula";18,216;15,639;38,274;"#FFA500";"triangle";25,25;21,68;53,06
"414";"Graca orebody level 804";"Iberian Peninsula";18,226;15,639;38,281;"#FFA500";"triangle";25,26;21,68;53,06
"415";"Herrerias";"Iberian Peninsula";18,225;15,633;38,223;"#FFA500";"triangle";25,28;21,69;53,03
"416";"La Joya";"Iberian Peninsula";18,198;15,605;38,136;"#FFA500";"triangle";25,3;21,69;53,01
"417";"La Joya";"Iberian Peninsula";18,168;15,601;38,128;"#FFA500";"triangle";25,27;21,7;53,03
"418";"La Zarza";"Iberian Peninsula";18,201;15,639;38,228;"#FFA500";"triangle";25,26;21,7;53,04
